sim,sourceX,sourceY,targetX,targetY
0.30 ,2010,Topic-Emer-2,2011,Topic-Front-0
0.30 ,2010,Topic-Front-0,2011,Topic-Front-0
0.30 ,2010,Topic-Emer-1,2011,Topic-Front-1
0.30 ,2010,Topic-Emer-1,2011,Topic-Front-2
0.30 ,2010,Topic-Emer-3,2011,Topic-Front-2
0.30 ,2010,Topic-Emer-2,2011,Topic-Front-3
0.30 ,2010,Topic-Emer-2,2011,Topic-Front-4
0.30 ,2010,Topic-Front-0,2011,Topic-Front-4
0.31 ,2010,Topic-Emer-0,2011,Topic-Emer-2
0.31 ,2010,Topic-Front-4,2011,Topic-Emer-2
0.31 ,2010,Topic-Emer-3,2011,Topic-Emer-3
0.31 ,2010,Topic-Front-0,2011,Topic-Emer-3
0.31 ,2010,Topic-Front-4,2011,Topic-Emer-3
0.31 ,2010,Topic-Trans-2,2011,Topic-Emer-3
0.31 ,2010,Topic-Front-0,2011,Topic-Emer-4
0.31 ,2010,Topic-Front-4,2011,Topic-Emer-4
0.32 ,2010,Topic-Front-0,2011,Topic-Emer-1
0.32 ,2010,Topic-Front-4,2011,Topic-Emer-1
0.32 ,2010,Topic-Trans-2,2011,Topic-Emer-1
0.33 ,2009,Topic-Emer-3,2010,Topic-Emer-1
0.33 ,2009,Topic-Front-1,2010,Topic-Emer-2
0.33 ,2009,Topic-Emer-1,2010,Topic-Emer-3
0.33 ,2009,Topic-Emer-2,2010,Topic-Emer-3
0.33 ,2009,Topic-Emer-3,2010,Topic-Emer-3
0.33 ,2009,Topic-Emer-1,2010,Topic-Front-0
0.33 ,2009,Topic-Emer-2,2010,Topic-Front-0
0.33 ,2009,Topic-Emer-1,2010,Topic-Front-1
0.33 ,2009,Topic-Emer-2,2010,Topic-Front-1
0.33 ,2009,Topic-Emer-3,2010,Topic-Front-1
0.33 ,2009,Topic-Emer-2,2010,Topic-Front-2
0.33 ,2009,Topic-Emer-1,2010,Topic-Front-4
0.33 ,2009,Topic-Emer-3,2010,Topic-Front-4
0.33 ,2009,Topic-Trans-1,2010,Topic-Trans-2
0.33 ,2009,Topic-Trans-0,2010,Topic-Trans-4
0.33 ,2009,Topic-Trans-3,2010,Topic-Trans-4
0.35 ,2010,Topic-Trans-2,2011,Topic-Trans-0
0.35 ,2010,Topic-Trans-2,2011,Topic-Trans-1
0.35 ,2010,Topic-Trans-2,2011,Topic-Trans-2
0.35 ,2010,Topic-Trans-2,2011,Topic-Trans-3
0.35 ,2010,Topic-Trans-2,2011,Topic-Trans-4
0.35 ,2010,Topic-Emer-2,2011,Topic-Front-2
0.37 ,2010,Topic-Trans-2,2011,Topic-Emer-4
0.38 ,2009,Topic-Trans-1,2010,Topic-Emer-2
0.38 ,2009,Topic-Trans-4,2010,Topic-Emer-2
0.38 ,2009,Topic-Emer-3,2010,Topic-Front-0
0.38 ,2009,Topic-Trans-0,2010,Topic-Front-0
0.38 ,2009,Topic-Emer-2,2010,Topic-Trans-2
0.38 ,2009,Topic-Emer-4,2010,Topic-Trans-2
0.38 ,2009,Topic-Trans-4,2010,Topic-Trans-2
0.40 ,2010,Topic-Emer-2,2011,Topic-Trans-0
