value,sourceX,sourceY,targetX,targetY,滞后时间
0.133333333,2006,lwT3,2007,nsfT0,滞后1年窗口
0.166666667,2006,lwT3,2007,nsfT1,滞后1年窗口
0.166666667,2006,lwT3,2007,nsfT4,滞后1年窗口
0.1,2007,lwT3,2008,nsfT0,滞后1年窗口
0.1,2007,lwT3,2008,nsfT4,滞后1年窗口
0.1,2008,lwT3,2009,nsfT2,滞后1年窗口
0.1,2008,lwT3,2009,nsfT3,滞后1年窗口
0.133333333,2008,lwT3,2009,nsfT4,滞后1年窗口
0.166666667,2008,lwT3,2009,nsfT5,滞后1年窗口
0.2,2008,lwT3,2009,nsfT0,滞后1年窗口
0.233333333,2008,lwT3,2009,nsfT1,滞后1年窗口
0.1,2009,lwT3,2010,nsfT0,滞后1年窗口
0.1,2009,lwT3,2010,nsfT3,滞后1年窗口
0.2,2009,lwT3,2010,nsfT1,滞后1年窗口
0.1,2010,lwT3,2011,nsfT4,滞后1年窗口
0.133333333,2010,lwT3,2011,nsfT2,滞后1年窗口
0.133333333,2010,lwT3,2011,nsfT3,滞后1年窗口
0.1,2011,lwT3,2012,nsfT4,滞后1年窗口
0.233333333,2014,lwT3,2015,nsfT1,滞后1年窗口
0.233333333,2014,lwT3,2015,nsfT2,滞后1年窗口
0.133333333,2015,lwT3,2016,nsfT2,滞后1年窗口
0.1,2016,lwT3,2017,nsfT2,滞后1年窗口
0.133333333,2016,lwT3,2017,nsfT1,滞后1年窗口
0.2,2000,lwT4,2001,nsfT2,滞后1年窗口
0.233333333,2000,lwT4,2001,nsfT1,滞后1年窗口
0.1,2001,lwT4,2002,nsfT0,滞后1年窗口
0.1,2001,lwT4,2002,nsfT2,滞后1年窗口
0.1,2002,lwT4,2003,nsfT1,滞后1年窗口
0.1,2003,lwT4,2004,nsfT2,滞后1年窗口
0.133333333,2003,lwT4,2004,nsfT3,滞后1年窗口
0.1,2004,lwT4,2005,nsfT1,滞后1年窗口
0.1,2004,lwT4,2005,nsfT2,滞后1年窗口
0.2,2004,lwT4,2005,nsfT0,滞后1年窗口
0.1,2005,lwT4,2006,nsfT0,滞后1年窗口
0.1,2005,lwT4,2006,nsfT1,滞后1年窗口
0.1,2005,lwT4,2006,nsfT2,滞后1年窗口
0.1,2005,lwT4,2006,nsfT4,滞后1年窗口
0.1,2007,lwT4,2008,nsfT1,滞后1年窗口
0.1,2007,lwT4,2008,nsfT2,滞后1年窗口
0.133333333,2007,lwT4,2008,nsfT4,滞后1年窗口
0.1,2008,lwT4,2009,nsfT0,滞后1年窗口
0.133333333,2008,lwT4,2009,nsfT5,滞后1年窗口
0.133333333,2009,lwT4,2010,nsfT1,滞后1年窗口
0.133333333,2009,lwT4,2010,nsfT4,滞后1年窗口
0.1,2011,lwT4,2012,nsfT2,滞后1年窗口
0.133333333,2011,lwT4,2012,nsfT3,滞后1年窗口
0.2,2011,lwT4,2012,nsfT4,滞后1年窗口
0.1,2012,lwT4,2013,nsfT0,滞后1年窗口
0.133333333,2013,lwT4,2014,nsfT1,滞后1年窗口
0.133333333,2013,lwT4,2014,nsfT5,滞后1年窗口
0.166666667,2013,lwT4,2014,nsfT0,滞后1年窗口
0.166666667,2013,lwT4,2014,nsfT3,滞后1年窗口
0.266666667,2013,lwT4,2014,nsfT2,滞后1年窗口
0.1,2015,lwT4,2016,nsfT5,滞后1年窗口
0.166666667,2003,lwT5,2004,nsfT3,滞后1年窗口
0.1,2005,lwT5,2006,nsfT1,滞后1年窗口
0.133333333,2005,lwT5,2006,nsfT3,滞后1年窗口
0.2,2005,lwT5,2006,nsfT0,滞后1年窗口
0.133333333,2006,lwT5,2007,nsfT0,滞后1年窗口
0.1,2007,lwT5,2008,nsfT4,滞后1年窗口
0.2,2007,lwT5,2008,nsfT5,滞后1年窗口
0.1,2008,lwT5,2009,nsfT5,滞后1年窗口
0.1,2009,lwT5,2010,nsfT1,滞后1年窗口
0.1,2009,lwT5,2010,nsfT4,滞后1年窗口
0.1,2010,lwT5,2011,nsfT1,滞后1年窗口
0.1,2010,lwT5,2011,nsfT2,滞后1年窗口
0.1,2011,lwT5,2012,nsfT0,滞后1年窗口
0.1,2011,lwT5,2012,nsfT2,滞后1年窗口
0.1,2011,lwT5,2012,nsfT4,滞后1年窗口
0.166666667,2011,lwT5,2012,nsfT1,滞后1年窗口
0.2,2011,lwT5,2012,nsfT3,滞后1年窗口
0.1,2012,lwT5,2013,nsfT5,滞后1年窗口
0.166666667,2012,lwT5,2013,nsfT1,滞后1年窗口
