sim,sourceX,sourceY,targetX,targetY
0.7235,2010-2014,2,2011-2015,2
0.0083,2010-2014,23,2011-2015,2
0.0593,2010-2014,142,2011-2015,2
0.0249,2010-2014,353,2011-2015,2
0.0119,2010-2014,659,2011-2015,2
0.0916,2010-2014,710,2011-2015,2
0.032,2010-2014,921,2011-2015,2
0.0648,2010-2014,1046,2011-2015,2
0.0162,2010-2014,1460,2011-2015,2
0.0293,2010-2014,2276,2011-2015,2
0.0079,2010-2014,2,2011-2015,23
0.7317,2010-2014,23,2011-2015,23
0.0029,2010-2014,142,2011-2015,23
0.0621,2010-2014,353,2011-2015,23
0.0403,2010-2014,659,2011-2015,23
0.0063,2010-2014,710,2011-2015,23
0.056,2010-2014,921,2011-2015,23
0.0035,2010-2014,1046,2011-2015,23
0.0403,2010-2014,1460,2011-2015,23
0.0039,2010-2014,2276,2011-2015,23
0.0645,2010-2014,2,2011-2015,142
0.0025,2010-2014,23,2011-2015,142
0.7599,2010-2014,142,2011-2015,142
0.012,2010-2014,353,2011-2015,142
0.0043,2010-2014,659,2011-2015,142
0.0423,2010-2014,710,2011-2015,142
0.0146,2010-2014,921,2011-2015,142
0.1135,2010-2014,1046,2011-2015,142
0.0072,2010-2014,1460,2011-2015,142
0.0269,2010-2014,2276,2011-2015,142
0.0257,2010-2014,2,2011-2015,353
0.0607,2010-2014,23,2011-2015,353
0.0132,2010-2014,142,2011-2015,353
0.7454,2010-2014,353,2011-2015,353
0.0447,2010-2014,659,2011-2015,353
0.0302,2010-2014,710,2011-2015,353
0.0528,2010-2014,921,2011-2015,353
0.0156,2010-2014,1046,2011-2015,353
0.0634,2010-2014,1460,2011-2015,353
0.0192,2010-2014,2276,2011-2015,353
0.0129,2010-2014,2,2011-2015,659
0.0427,2010-2014,23,2011-2015,659
0.0053,2010-2014,142,2011-2015,659
0.0488,2010-2014,353,2011-2015,659
0.7358,2010-2014,659,2011-2015,659
0.0094,2010-2014,710,2011-2015,659
0.0609,2010-2014,921,2011-2015,659
0.0063,2010-2014,1046,2011-2015,659
0.0522,2010-2014,1460,2011-2015,659
0.0084,2010-2014,2276,2011-2015,659
0.0895,2010-2014,2,2011-2015,710
0.0058,2010-2014,23,2011-2015,710
0.0431,2010-2014,142,2011-2015,710
0.0274,2010-2014,353,2011-2015,710
0.0079,2010-2014,659,2011-2015,710
0.7387,2010-2014,710,2011-2015,710
0.0282,2010-2014,921,2011-2015,710
0.051,2010-2014,1046,2011-2015,710
0.0136,2010-2014,1460,2011-2015,710
0.0422,2010-2014,2276,2011-2015,710
0.0344,2010-2014,2,2011-2015,921
0.0578,2010-2014,23,2011-2015,921
0.0165,2010-2014,142,2011-2015,921
0.0553,2010-2014,353,2011-2015,921
0.0571,2010-2014,659,2011-2015,921
0.0306,2010-2014,710,2011-2015,921
0.718,2010-2014,921,2011-2015,921
0.0233,2010-2014,1046,2011-2015,921
0.0449,2010-2014,1460,2011-2015,921
0.0216,2010-2014,2276,2011-2015,921
0.0743,2010-2014,2,2011-2015,1046
0.0037,2010-2014,23,2011-2015,1046
0.1185,2010-2014,142,2011-2015,1046
0.0156,2010-2014,353,2011-2015,1046
0.0055,2010-2014,659,2011-2015,1046
0.0566,2010-2014,710,2011-2015,1046
0.023,2010-2014,921,2011-2015,1046
0.7322,2010-2014,1046,2011-2015,1046
0.0083,2010-2014,1460,2011-2015,1046
0.0332,2010-2014,2276,2011-2015,1046
0.0152,2010-2014,2,2011-2015,1460
0.0431,2010-2014,23,2011-2015,1460
0.0074,2010-2014,142,2011-2015,1460
0.0682,2010-2014,353,2011-2015,1460
0.0502,2010-2014,659,2011-2015,1460
0.0147,2010-2014,710,2011-2015,1460
0.045,2010-2014,921,2011-2015,1460
0.0079,2010-2014,1046,2011-2015,1460
0.7141,2010-2014,1460,2011-2015,1460
0.0169,2010-2014,2276,2011-2015,1460
0.0347,2010-2014,2,2011-2015,2276
0.0042,2010-2014,23,2011-2015,2276
0.0319,2010-2014,142,2011-2015,2276
0.0206,2010-2014,353,2011-2015,2276
0.0077,2010-2014,659,2011-2015,2276
0.0477,2010-2014,710,2011-2015,2276
0.0233,2010-2014,921,2011-2015,2276
0.038,2010-2014,1046,2011-2015,2276
0.0183,2010-2014,1460,2011-2015,2276
0.6709,2010-2014,2276,2011-2015,2276
0.7581,2011-2015,2,2012-2016,2
0.009,2011-2015,23,2012-2016,2
0.0585,2011-2015,142,2012-2016,2
0.0254,2011-2015,353,2012-2016,2
0.0129,2011-2015,659,2012-2016,2
0.0938,2011-2015,710,2012-2016,2
0.0325,2011-2015,921,2012-2016,2
0.0658,2011-2015,1046,2012-2016,2
0.0149,2011-2015,1460,2012-2016,2
0.0296,2011-2015,2276,2012-2016,2
0.0098,2011-2015,2,2012-2016,23
0.7649,2011-2015,23,2012-2016,23
0.0029,2011-2015,142,2012-2016,23
0.0642,2011-2015,353,2012-2016,23
0.0409,2011-2015,659,2012-2016,23
0.0068,2011-2015,710,2012-2016,23
0.0589,2011-2015,921,2012-2016,23
0.0044,2011-2015,1046,2012-2016,23
0.0433,2011-2015,1460,2012-2016,23
0.0043,2011-2015,2276,2012-2016,23
0.0601,2011-2015,2,2012-2016,142
0.0026,2011-2015,23,2012-2016,142
0.7373,2011-2015,142,2012-2016,142
0.0123,2011-2015,353,2012-2016,142
0.0044,2011-2015,659,2012-2016,142
0.0428,2011-2015,710,2012-2016,142
0.0149,2011-2015,921,2012-2016,142
0.112,2011-2015,1046,2012-2016,142
0.0064,2011-2015,1460,2012-2016,142
0.0306,2011-2015,2276,2012-2016,142
0.0278,2011-2015,2,2012-2016,353
0.0641,2011-2015,23,2012-2016,353
0.013,2011-2015,142,2012-2016,353
0.758,2011-2015,353,2012-2016,353
0.0467,2011-2015,659,2012-2016,353
0.0305,2011-2015,710,2012-2016,353
0.0539,2011-2015,921,2012-2016,353
0.0166,2011-2015,1046,2012-2016,353
0.0657,2011-2015,1460,2012-2016,353
0.0212,2011-2015,2276,2012-2016,353
0.0153,2011-2015,2,2012-2016,659
0.0449,2011-2015,23,2012-2016,659
0.0056,2011-2015,142,2012-2016,659
0.0515,2011-2015,353,2012-2016,659
0.7614,2011-2015,659,2012-2016,659
0.0094,2011-2015,710,2012-2016,659
0.0622,2011-2015,921,2012-2016,659
0.0077,2011-2015,1046,2012-2016,659
0.0527,2011-2015,1460,2012-2016,659
0.0089,2011-2015,2276,2012-2016,659
0.093,2011-2015,2,2012-2016,710
0.0062,2011-2015,23,2012-2016,710
0.0416,2011-2015,142,2012-2016,710
0.0285,2011-2015,353,2012-2016,710
0.0085,2011-2015,659,2012-2016,710
0.7476,2011-2015,710,2012-2016,710
0.0272,2011-2015,921,2012-2016,710
0.0533,2011-2015,1046,2012-2016,710
0.0129,2011-2015,1460,2012-2016,710
0.0431,2011-2015,2276,2012-2016,710
0.0342,2011-2015,2,2012-2016,921
0.0588,2011-2015,23,2012-2016,921
0.0155,2011-2015,142,2012-2016,921
0.0551,2011-2015,353,2012-2016,921
0.0569,2011-2015,659,2012-2016,921
0.0288,2011-2015,710,2012-2016,921
0.7484,2011-2015,921,2012-2016,921
0.023,2011-2015,1046,2012-2016,921
0.0452,2011-2015,1460,2012-2016,921
0.0209,2011-2015,2276,2012-2016,921
0.0727,2011-2015,2,2012-2016,1046
0.0041,2011-2015,23,2012-2016,1046
0.1162,2011-2015,142,2012-2016,1046
0.0169,2011-2015,353,2012-2016,1046
0.0067,2011-2015,659,2012-2016,1046
0.0585,2011-2015,710,2012-2016,1046
0.0231,2011-2015,921,2012-2016,1046
0.733,2011-2015,1046,2012-2016,1046
0.0074,2011-2015,1460,2012-2016,1046
0.0359,2011-2015,2276,2012-2016,1046
0.0165,2011-2015,2,2012-2016,1460
0.046,2011-2015,23,2012-2016,1460
0.0067,2011-2015,142,2012-2016,1460
0.0693,2011-2015,353,2012-2016,1460
0.0525,2011-2015,659,2012-2016,1460
0.0136,2011-2015,710,2012-2016,1460
0.047,2011-2015,921,2012-2016,1460
0.0079,2011-2015,1046,2012-2016,1460
0.7441,2011-2015,1460,2012-2016,1460
0.0177,2011-2015,2276,2012-2016,1460
0.0337,2011-2015,2,2012-2016,2276
0.0041,2011-2015,23,2012-2016,2276
0.0331,2011-2015,142,2012-2016,2276
0.021,2011-2015,353,2012-2016,2276
0.0077,2011-2015,659,2012-2016,2276
0.0477,2011-2015,710,2012-2016,2276
0.0212,2011-2015,921,2012-2016,2276
0.0384,2011-2015,1046,2012-2016,2276
0.0174,2011-2015,1460,2012-2016,2276
0.7251,2011-2015,2276,2012-2016,2276
0.7561,2012-2016,2,2013-2017,2
0.01,2012-2016,23,2013-2017,2
0.0549,2012-2016,142,2013-2017,2
0.0256,2012-2016,353,2013-2017,2
0.0138,2012-2016,659,2013-2017,2
0.0939,2012-2016,710,2013-2017,2
0.0321,2012-2016,921,2013-2017,2
0.0637,2012-2016,1046,2013-2017,2
0.0143,2012-2016,1460,2013-2017,2
0.0298,2012-2016,2276,2013-2017,2
0.0102,2012-2016,2,2013-2017,23
0.7776,2012-2016,23,2013-2017,23
0.0026,2012-2016,142,2013-2017,23
0.0657,2012-2016,353,2013-2017,23
0.0429,2012-2016,659,2013-2017,23
0.0067,2012-2016,710,2013-2017,23
0.0595,2012-2016,921,2013-2017,23
0.0044,2012-2016,1046,2013-2017,23
0.0448,2012-2016,1460,2013-2017,23
0.0041,2012-2016,2276,2013-2017,23
0.0588,2012-2016,2,2013-2017,142
0.0027,2012-2016,23,2013-2017,142
0.7858,2012-2016,142,2013-2017,142
0.0127,2012-2016,353,2013-2017,142
0.0051,2012-2016,659,2013-2017,142
0.0421,2012-2016,710,2013-2017,142
0.0149,2012-2016,921,2013-2017,142
0.1103,2012-2016,1046,2013-2017,142
0.0063,2012-2016,1460,2013-2017,142
0.031,2012-2016,2276,2013-2017,142
0.027,2012-2016,2,2013-2017,353
0.0659,2012-2016,23,2013-2017,353
0.0125,2012-2016,142,2013-2017,353
0.7389,2012-2016,353,2013-2017,353
0.0482,2012-2016,659,2013-2017,353
0.0301,2012-2016,710,2013-2017,353
0.0526,2012-2016,921,2013-2017,353
0.0169,2012-2016,1046,2013-2017,353
0.0677,2012-2016,1460,2013-2017,353
0.0216,2012-2016,2276,2013-2017,353
