sim,sourceX,sourceY,targetX,targetY
0.04,2010-2014,2,2011-2015,1095
0.04,2012-2016,107,2013-2017,461
0.04,2011-2015,469,2012-2016,921
0.0401,2011-2015,60,2012-2016,1095
0.0401,2010-2014,469,2011-2015,60
0.0401,2013-2017,1142,2014-2018,727
0.0402,2011-2015,1142,2012-2016,867
0.0403,2010-2014,2,2011-2015,161
0.0403,2012-2016,142,2013-2017,710
0.0403,2013-2017,727,2014-2018,867
0.0403,2012-2016,1046,2013-2017,965
0.0403,2012-2016,1460,2013-2017,469
0.0404,2011-2015,1046,2012-2016,965
0.0405,2011-2015,353,2012-2016,1095
0.0406,2012-2016,1095,2013-2017,921
0.0407,2011-2015,469,2012-2016,1460
0.0407,2011-2015,1199,2012-2016,1046
0.0408,2010-2014,1095,2011-2015,921
0.0409,2010-2014,581,2011-2015,1095
0.0409,2011-2015,921,2012-2016,1095
0.041,2013-2017,142,2014-2018,710
0.041,2011-2015,727,2012-2016,1199
0.041,2010-2014,1095,2011-2015,1460
0.0411,2013-2017,867,2014-2018,727
0.0411,2010-2014,1046,2011-2015,965
0.0411,2012-2016,1095,2013-2017,1460
0.0411,2012-2016,1142,2013-2017,727
0.0412,2012-2016,353,2013-2017,1095
0.0413,2012-2016,867,2013-2017,1142
0.0414,2010-2014,469,2011-2015,921
0.0414,2010-2014,867,2011-2015,1142
0.0414,2010-2014,1199,2011-2015,727
0.0416,2011-2015,142,2012-2016,710
0.0416,2013-2017,1046,2014-2018,727
0.0417,2012-2016,814,2013-2017,254
0.0417,2011-2015,1095,2012-2016,921
0.0419,2013-2017,727,2014-2018,1046
0.0419,2010-2014,727,2011-2015,1142
0.0421,2012-2016,710,2013-2017,142
0.0421,2010-2014,921,2011-2015,1095
0.0421,2012-2016,1095,2013-2017,254
0.0422,2011-2015,727,2012-2016,1142
0.0422,2011-2015,1142,2012-2016,727
0.0422,2010-2014,2276,2011-2015,710
0.0423,2010-2014,710,2011-2015,142
0.0423,2011-2015,867,2012-2016,1142
0.0424,2010-2014,221,2011-2015,648
0.0424,2013-2017,221,2014-2018,1199
0.0424,2010-2014,1460,2011-2015,469
0.0425,2011-2015,867,2012-2016,1046
0.0425,2012-2016,1046,2013-2017,867
0.0425,2013-2017,2276,2014-2018,867
0.0426,2012-2016,1046,2013-2017,1199
0.0426,2011-2015,1460,2012-2016,1095
0.0427,2012-2016,867,2013-2017,727
0.0427,2010-2014,867,2011-2015,1046
0.0427,2010-2014,1046,2011-2015,727
0.0427,2013-2017,1199,2014-2018,221
0.0428,2011-2015,710,2012-2016,142
0.0428,2011-2015,1046,2012-2016,867
0.0428,2011-2015,1046,2012-2016,1199
0.0428,2010-2014,1095,2011-2015,254
0.0428,2013-2017,1095,2014-2018,254
0.0429,2010-2014,469,2011-2015,1460
0.0429,2013-2017,710,2014-2018,2276
0.0429,2013-2017,867,2014-2018,2276
0.0429,2012-2016,1460,2013-2017,1095
0.043,2011-2015,727,2012-2016,1046
0.043,2012-2016,727,2013-2017,1142
0.0431,2010-2014,142,2011-2015,710
0.0431,2010-2014,727,2011-2015,1046
0.0431,2012-2016,727,2013-2017,1046
0.0431,2011-2015,2276,2012-2016,710
0.0432,2010-2014,1460,2011-2015,1095
0.0434,2011-2015,814,2012-2016,254
0.0434,2013-2017,921,2014-2018,1460
0.0435,2011-2015,1095,2012-2016,1460
0.0436,2013-2017,254,2014-2018,1460
0.0436,2011-2015,1046,2012-2016,727
0.0438,2010-2014,727,2011-2015,1199
0.0438,2012-2016,2276,2013-2017,710
0.0439,2013-2017,814,2014-2018,254
0.044,2013-2017,2,2014-2018,727
0.044,2011-2015,727,2012-2016,2
0.0444,2012-2016,254,2013-2017,1095
0.0444,2012-2016,1046,2013-2017,727
0.0446,2010-2014,867,2011-2015,727
0.0446,2013-2017,867,2014-2018,1199
0.0446,2011-2015,1095,2012-2016,254
0.0446,2013-2017,2276,2014-2018,1142
0.0447,2010-2014,1046,2011-2015,1199
0.0447,2013-2017,1199,2014-2018,867
0.0449,2012-2016,254,2013-2017,814
0.0449,2010-2014,727,2011-2015,2
0.0449,2010-2014,1460,2011-2015,921
0.045,2011-2015,867,2012-2016,727
0.045,2010-2014,921,2011-2015,1460
0.0451,2012-2016,867,2013-2017,2276
0.0452,2011-2015,1460,2012-2016,921
0.0452,2013-2017,1460,2014-2018,921
0.0453,2010-2014,867,2011-2015,2276
0.0454,2011-2015,727,2012-2016,867
0.0456,2012-2016,727,2013-2017,2
0.0456,2010-2014,814,2011-2015,254
0.0456,2011-2015,867,2012-2016,2276
0.0458,2012-2016,867,2013-2017,1199
0.046,2012-2016,921,2013-2017,1460
0.0461,2013-2017,727,2014-2018,2
0.0461,2012-2016,727,2013-2017,867
0.0461,2012-2016,1199,2013-2017,221
