value,sourceX,sourceY,targetX,targetY,滞后时间
0.37,2000,lwT0,2005,nsfT0,滞后5年窗口
0.37,2001,lwT0,2006,nsfT0,滞后5年窗口
0.37,2004,lwT0,2009,nsfT3,滞后5年窗口
0.37,2006,lwT0,2011,nsfT0,滞后5年窗口
0.37,2000,lwT0,2004,nsfT0,滞后4年窗口
0.37,2001,lwT0,2005,nsfT0,滞后4年窗口
0.37,2002,lwT0,2006,nsfT3,滞后4年窗口
0.37,2003,lwT0,2007,nsfT0,滞后4年窗口
0.37,2003,lwT0,2007,nsfT2,滞后4年窗口
0.37,2003,lwT0,2007,nsfT3,滞后4年窗口
0.37,2004,lwT0,2008,nsfT4,滞后4年窗口
0.37,2006,lwT0,2010,nsfT1,滞后4年窗口
0.37,2013,lwT0,2017,nsfT1,滞后4年窗口
0.37,2013,lwT0,2017,nsfT10,滞后4年窗口
0.37,2000,lwT0,2003,nsfT4,滞后3年窗口
0.37,2000,lwT0,2003,nsfT6,滞后3年窗口
0.37,2002,lwT0,2005,nsfT0,滞后3年窗口
0.37,2003,lwT0,2006,nsfT3,滞后3年窗口
0.37,2003,lwT0,2006,nsfT4,滞后3年窗口
0.37,2004,lwT0,2007,nsfT1,滞后3年窗口
0.37,2006,lwT0,2009,nsfT3,滞后3年窗口
0.37,2006,lwT0,2009,nsfT4,滞后3年窗口
0.37,2013,lwT0,2016,nsfT3,滞后3年窗口
0.37,2001,lwT0,2003,nsfT3,滞后2年窗口
0.37,2002,lwT0,2004,nsfT3,滞后2年窗口
0.37,2002,lwT0,2004,nsfT5,滞后2年窗口
0.37,2004,lwT0,2006,nsfT5,滞后2年窗口
0.37,2004,lwT0,2006,nsfT6,滞后2年窗口
0.37,2007,lwT0,2009,nsfT1,滞后2年窗口
0.37,2014,lwT0,2016,nsfT2,滞后2年窗口
0.37,2001,lwT0,2002,nsfT2,滞后1年窗口
0.37,2002,lwT0,2003,nsfT0,滞后1年窗口
0.37,2003,lwT0,2004,nsfT5,滞后1年窗口
0.37,2004,lwT0,2005,nsfT0,滞后1年窗口
0.37,2005,lwT0,2006,nsfT6,滞后1年窗口
0.37,2006,lwT0,2007,nsfT3,滞后1年窗口
