value,sourceX,sourceY,targetX,targetY,
0.1,2013,FT0,2014,PT0,Time lag=1
0.1,2013,FT0,2014,PT1,Time lag=1
0.1,2013,FT0,2014,PT4,Time lag=1
0.1,2013,FT1,2014,PT0,Time lag=1
0.1,2013,FT1,2014,PT1,Time lag=1
0.1,2013,FT1,2014,PT3,Time lag=1
0.1,2013,FT1,2014,PT5,Time lag=1
0.1,2013,FT1,2014,PT8,Time lag=1
0.1,2013,FT2,2014,PT10,Time lag=1
0.1,2013,FT2,2014,PT5,Time lag=1
0.1,2013,FT2,2014,PT7,Time lag=1
0.1,2013,FT3,2014,PT0,Time lag=1
0.1,2013,FT3,2014,PT1,Time lag=1
0.1,2013,FT3,2014,PT10,Time lag=1
0.1,2013,FT3,2014,PT11,Time lag=1
0.1,2013,FT3,2014,PT3,Time lag=1
0.1,2013,FT3,2014,PT7,Time lag=1
0.1,2013,FT3,2014,PT9,Time lag=1
0.1,2013,FT4,2014,PT1,Time lag=1
0.1,2013,FT4,2014,PT10,Time lag=1
0.1,2013,FT4,2014,PT11,Time lag=1
0.1,2013,FT4,2014,PT13,Time lag=1
0.1,2013,FT4,2014,PT2,Time lag=1
0.1,2013,FT4,2014,PT4,Time lag=1
0.1,2013,FT4,2014,PT5,Time lag=1
0.1,2013,FT4,2014,PT6,Time lag=1
0.1,2013,FT4,2014,PT9,Time lag=1
0.1,2013,FT5,2014,PT12,Time lag=1
0.1,2013,FT6,2014,PT0,Time lag=1
0.1,2013,FT6,2014,PT1,Time lag=1
0.1,2013,FT6,2014,PT2,Time lag=1
0.1,2013,FT6,2014,PT3,Time lag=1
0.1,2013,FT6,2014,PT6,Time lag=1
0.1,2013,FT6,2014,PT8,Time lag=1
0.1,2013,PT10,2014,FT1,Time lag=1
0.1,2013,PT10,2014,FT2,Time lag=1
0.1,2013,PT11,2014,FT0,Time lag=1
0.1,2013,PT12,2014,FT1,Time lag=1
0.1,2013,PT13,2014,FT3,Time lag=1
0.1,2013,PT13,2014,FT4,Time lag=1
0.1,2013,PT14,2014,FT2,Time lag=1
0.1,2013,PT14,2014,FT3,Time lag=1
0.1,2013,PT14,2014,FT4,Time lag=1
0.1,2013,PT14,2014,FT6,Time lag=1
0.1,2013,PT2,2014,FT6,Time lag=1
0.1,2013,PT4,2014,FT1,Time lag=1
0.1,2013,PT5,2014,FT0,Time lag=1
0.1,2013,PT5,2014,FT1,Time lag=1
0.1,2013,PT5,2014,FT2,Time lag=1
0.1,2013,PT5,2014,FT4,Time lag=1
0.1,2013,PT5,2014,FT5,Time lag=1
0.1,2013,PT5,2014,FT6,Time lag=1
0.1,2013,PT6,2014,FT1,Time lag=1
