sim,sourceX,sourceY,targetX,targetY
1,1985-1986,读者服务 文献索引,1987-1988,读者服务 文献索引
1,1987-1988,读者服务 文献索引,1989-1990,读者服务 文献索引
1,1989-1990,读者服务 文献索引,1991-1992,读者服务 文献索引
1,1985-1986,国外情报服务 检索系统,1987-1988,国外情报服务 检索系统
1,1987-1988,国外情报服务 检索系统,1989-1990,国外情报服务 检索系统
1,1989-1990,国外情报服务 检索系统,1991-1992,国外情报服务 检索系统
1,1942-1980,科技期刊 国外期刊,1981-1982,科技期刊 国外期刊
1,1981-1982,科技期刊 国外期刊,1983-1984,科技期刊 国外期刊
1,1983-1984,科技期刊 国外期刊,1985-1986,科技期刊 国外期刊
1,1985-1986,科技期刊 国外期刊,1987-1988,科技期刊 国外期刊
1,1987-1988,科技期刊 国外期刊,1989-1990,科技期刊 国外期刊
1,1989-1990,科技期刊 国外期刊,1991-1992,科技期刊 国外期刊
1,1983-1984,科技情报系统 分布型,1985-1986,科技情报系统 分布型
1,1942-1980,情报服务 信息产业,1981-1982,情报服务 信息产业
1,1981-1982,情报服务 信息产业,1983-1984,情报服务 信息产业
1,1983-1984,情报服务 信息产业,1985-1986,情报服务 信息产业
1,1985-1986,情报服务 信息产业,1987-1988,情报服务 信息产业
1,1987-1988,情报服务 信息产业,1989-1990,情报服务 信息产业
1,1989-1990,情报服务 信息产业,1991-1992,情报服务 信息产业
1,1981-1982,情报机构 情报工作,1983-1984,情报机构 情报工作
1,1983-1984,情报机构 情报工作,1985-1986,情报机构 情报工作
1,1985-1986,情报机构 情报工作,1987-1988,情报机构 情报工作
1,1987-1988,情报机构 情报工作,1989-1990,情报机构 情报工作
1,1989-1990,情报机构 情报工作,1991-1992,情报机构 情报工作
1,1983-1984,情报技术 计算机系统,1985-1986,国外情报服务 检索系统
1,1985-1986,情报技术 计算机系统,1987-1988,国外情报服务 检索系统
1,1987-1988,情报技术 计算机系统,1989-1990,国外情报服务 检索系统
1,1989-1990,情报技术 计算机系统,1991-1992,国外情报服务 检索系统
1,1981-1982,情报技术 计算机系统,1983-1984,情报技术 计算机系统
1,1981-1982,情报检索 查全、准率,1983-1984,情报检索 查全、准率
1,1983-1984,情报检索 查全、准率,1985-1986,情报检索 查全、准率
1,1985-1986,情报检索 查全、准率,1987-1988,情报检索 查全、准率
1,1987-1988,情报检索 查全、准率,1989-1990,情报检索 查全、准率
