sim,sourceX,sourceY,targetX,targetY
5,2001,T-2,2002,S-5
5.036,1996,S-8,2006,T-6
5.042,1994,S-14,2008,T-10
5.055,2001,T-14,2015,S-0
5.073,1996,S-8,2003,T-3
5.075,2008,T-11,2015,S-0
5.09,1994,S-14,2013,T-4
5.117,2003,T-3,2009,S-10
5.119,2016,T-12,2017,S-1
5.168,1994,S-14,2016,T-12
5.173,1994,S-14,2001,T-14
5.184,2002,S-5,2012,T-7
5.208,1982,S-12,2009,T-8
5.22,2003,T-13,2017,S-13
5.223,2002,S-5,2008,T-11
5.261,1996,S-8,2001,T-1
5.296,2000,S-7,2001,T-14
5.346,2012,T-7,2015,S-0
5.348,1996,S-8,2008,T-10
5.351,2000,S-7,2013,T-4
5.36,2013,T-4,2017,S-2
5.363,2015,S-0,2016,T-0
5.373,2002,S-5,2016,T-0
5.403,2001,T-14,2013,S-4
5.405,2003,T-3,2017,S-1
5.413,1982,S-12,2013,T-4
5.448,2003,T-3,2017,S-13
5.462,2003,T-3,2017,S-2
5.463,2008,T-10,2015,S-6
5.473,2016,T-12,2017,S-13
5.477,2008,T-10,2017,S-1
5.489,1994,S-14,2006,T-6
5.492,2000,S-11,2016,T-0
5.502,2007,S-9,2009,T-8
5.505,2003,T-13,2009,S-10
5.507,2000,T-5,2002,S-5
5.522,2000,T-5,2015,S-0
5.535,2003,T-3,2015,S-0
5.536,2001,T-14,2017,S-2
5.593,2000,S-7,2012,T-7
5.631,2006,T-6,2015,S-0
5.638,2003,T-3,2007,S-9
5.657,2000,S-11,2008,T-10
5.67,2013,T-4,2015,S-6
5.69,2000,S-11,2012,T-7
5.707,2012,T-7,2017,S-1
5.713,2003,T-13,2015,S-0
5.715,2000,S-11,2001,T-14
5.717,1994,S-14,2003,T-3
5.734,1996,S-8,2000,T-5
5.748,2008,T-11,2017,S-1
5.759,2000,S-11,2006,T-6
5.76,2000,T-5,2017,S-13
5.76,2000,T-9,2002,S-5
5.761,1996,S-8,2001,T-2
5.773,2001,T-1,2015,S-6
5.787,2009,T-8,2017,S-1
5.826,2000,S-7,2003,T-3
5.839,2000,T-5,2017,S-1
5.842,2000,T-9,2015,S-6
5.875,1994,S-14,2009,T-8
5.898,2002,S-5,2006,T-6
5.912,2008,T-11,2017,S-13
5.925,1994,S-14,2001,T-2
5.928,2001,T-14,2017,S-1
5.931,2001,T-1,2017,S-1
5.943,2001,T-2,2017,S-1
6.022,2003,T-13,2007,S-9
6.025,2001,T-2,2015,S-0
6.026,2000,T-9,2009,S-10
6.031,2015,S-6,2016,T-0
6.032,2009,S-10,2016,T-12
6.083,2000,S-11,2003,T-3
6.084,2013,T-4,2017,S-13
6.095,1994,S-14,2000,T-9
6.144,2007,S-9,2013,T-4
6.148,1994,S-14,2016,T-0
6.175,2012,T-7,2017,S-13
6.202,2000,T-9,2017,S-13
6.242,2001,T-1,2017,S-13
6.254,1994,S-14,2003,T-13
6.269,1982,S-12,2003,T-13
6.277,2007,S-9,2016,T-12
6.284,2001,T-14,2015,S-6
6.323,2003,T-13,2017,S-2
6.344,2009,S-10,2012,T-7
6.351,1982,S-12,2001,T-1
6.359,2001,T-2,2009,S-10
6.374,2016,T-0,2017,S-1
6.412,2012,T-7,2015,S-6
6.426,2016,T-0,2017,S-13
6.433,1994,S-14,2001,T-1
6.455,2008,T-10,2009,S-10
6.457,2013,T-4,2017,S-1
6.511,2008,T-10,2017,S-13
6.523,1994,S-14,2000,T-5
6.547,1982,S-12,2003,T-3
6.568,2016,T-12,2017,S-2
6.576,1994,S-14,2008,T-11
6.617,1982,S-12,2001,T-14
6.658,2000,T-9,2017,S-2
6.661,2000,S-7,2016,T-12
6.696,2003,T-13,2017,S-1
6.697,2001,T-2,2017,S-13
6.717,1982,S-12,2012,T-7
6.751,2006,T-6,2015,S-6
6.753,2000,S-7,2003,T-13
6.761,2000,S-11,2008,T-11
6.805,1982,S-12,2016,T-0
6.809,2016,T-0,2017,S-2
6.854,2007,S-9,2008,T-11
6.857,2008,T-11,2015,S-6
6.926,1982,S-12,2008,T-10
6.94,2008,T-11,2009,S-10
