symbol,date,price
主题4,Jan 2000,39.81
主题4,Feb 2000,36.35
主题4,Mar 2000,43.22
主题4,Apr 2000,28.37
主题4,May 2000,25.45
主题4,Jun 2000,32.54
主题4,Jul 2000,28.4
主题4,Aug 2000,28.4
主题4,Sep 2000,24.53
主题4,Oct 2000,28.02
主题4,Nov 2000,23.34
主题4,Dec 2000,17.65
主题4,Jan 2001,24.84
主题4,Feb 2001,24
主题4,Mar 2001,22.25
主题4,Apr 2001,27.56
主题4,May 2001,28.14
主题4,Jun 2001,29.7
主题4,Jul 2001,26.93
主题4,Aug 2001,23.21
主题4,Sep 2001,20.82
主题4,Oct 2001,23.65
主题4,Nov 2001,26.12
主题4,Dec 2001,26.95
主题4,Jan 2002,25.92
主题4,Feb 2002,23.73
主题4,Mar 2002,24.53
主题4,Apr 2002,21.26
主题4,May 2002,20.71
主题4,Jun 2002,22.25
主题4,Jul 2002,19.52
主题4,Aug 2002,19.97
主题4,Sep 2002,17.79
主题4,Oct 2002,21.75
主题4,Nov 2002,23.46
主题4,Dec 2002,21.03
主题4,Jan 2003,19.31
主题4,Feb 2003,19.34
主题4,Mar 2003,19.76
主题4,Apr 2003,20.87
主题4,May 2003,20.09
主题4,Jun 2003,20.93
主题4,Jul 2003,21.56
主题4,Aug 2003,21.65
主题4,Sep 2003,22.69
主题4,Oct 2003,21.45
主题4,Nov 2003,21.1
主题4,Dec 2003,22.46
主题4,Jan 2004,22.69
主题4,Feb 2004,21.77
主题4,Mar 2004,20.46
主题4,Apr 2004,21.45
主题4,May 2004,21.53
主题4,Jun 2004,23.44
主题4,Jul 2004,23.38
主题4,Aug 2004,22.47
主题4,Sep 2004,22.76
主题4,Oct 2004,23.02
主题4,Nov 2004,24.6
主题4,Dec 2004,24.52
主题4,Jan 2005,24.11
主题4,Feb 2005,23.15
主题4,Mar 2005,22.24
主题4,Apr 2005,23.28
主题4,May 2005,23.82
主题4,Jun 2005,22.93
主题4,Jul 2005,23.64
主题4,Aug 2005,25.35
主题4,Sep 2005,23.83
主题4,Oct 2005,23.8
主题4,Nov 2005,25.71
主题4,Dec 2005,24.29
主题4,Jan 2006,26.14
主题4,Feb 2006,25.04
主题4,Mar 2006,25.36
主题4,Apr 2006,22.5
主题4,May 2006,21.19
主题4,Jun 2006,21.8
主题4,Jul 2006,22.51
主题4,Aug 2006,24.13
