Country/Area Name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
科技情报系统 情报信息 文献情报 ,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,52,100,97,46,19,12,10,10,6,60,60
信息产业 情报服务 科技情报学,0,0,10,1,1,1,1,1,2,2,2,2,2,3,4,5,6,7,8,12,20,100,58,20,11,6,4,4,3,2,2
情报检索 情报中心 检索语言,0,0,0,0,0,22,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,30,30
情报教育 情报产品 情报专家,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
文献计量学 情报技术 数据挖掘 ,0,0,12,0,36,0,1,1,0,0,0,1,0,2,2,1,0,0,0,0,1,2,2,2,1,1,0,0,0,1,1
情报检索 共词分析 信息资源,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
信息检索 计算机情报检索 情报流,0,0,0,0,0,0,0,0,0,33,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
情报科学 情报用户 文献检索,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
情报体制改革 科技情报事业 情报部门,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
信息服务 情报工作 情报服务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
情报专业 情报学报 情报学会,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
有偿服务 情报信息 数据库,0,0,15,20,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,3,0,0,0,0,60,60
联机检索系统 突发事件 情报部门,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
情报学报 情报意识 信息管理 ,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
internet 情报环境 布鲁克斯,1,1,2,3,10,15,10,6,4,6,12,8,26,34,26,17,15,13,9,7,5,16,6,8,8,9,8,6,5,3,3
引文分析 数据库建设 情报工作,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
科技情报系统 情报信息 文献情报 ,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
信息产业 情报服务 科技情报学,0,0,0,0,0,0,0,0,0,0,0,30,18,14,8,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
情报教育 信息中心 检索服务,0,0,0,0,15,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
情报教育 情报产品 情报专家,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
情报技术 可视化 文献计量 ,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
情报检索 共词分析 信息资源,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
信息检索 计算机情报检索 情报流,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
情报服务 科技情报 学科前沿,0,0,0,0,22,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
情报体制改革 科技情报事业 情报部门,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
信息服务 情报工作 情报服务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,1,2,2,0,0,0,1,2,4,2,2
情报专业 情报学报 情报学会,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
有偿服务 情报信息 数据库,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
联机检索系统 突发事件 情报部门,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,5,1,2,0,0,0
情报学报 情报意识 信息管理 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internet 情报环境 布鲁克斯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
引文分析 数据库建设 情报工作,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,6
科技情报系统 情报信息 文献情报 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
信息产业 情报服务 科技情报学,1,1,1,7,4,2,1,1,1,2,2,1,1,1,1,1,0,1,1,1,4,3,2,2,2,2,2,2,2,2,2
情报分析 情报中心 检索语言,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
情报教育 情报产品 情报专家,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
科学计量 情报服务 文献计量 ,0,0,0,0,4,4,5,4,4,4,5,5,4,5,0,5,4,6,5,5,5,8,8,4,4,6,6,6,4,7,7
情报检索 共词分析 信息资源,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
信息检索 计算机情报检索 情报流,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
大数据 云计算 物联网,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,15,16,9,11,16,10,17,9,12,9,9
