sim,sour1986-1989eX,sour1986-1989eY,t1980-1982rgetX,t1980-1982rgetY
1,2002-2003,T2,2004-2005,T2
1,2004-2005,T2,2006-2007,T2
1,2006-2007,T2,2008-2009,T2
1,2002-2003,T7,2004-2005,T7
1,2004-2005,T7,2006-2007,T7
1,2006-2007,T7,2008-2009,T7
1,2002-2003,T8,2004-2005,T8
1,2004-2005,T8,2006-2007,T8
1,2006-2007,T8,2008-2009,T8
1,2002-2003,T11,2004-2005,T11
1,2004-2005,T11,2006-2007,T11
1,2006-2007,T11,2008-2009,T11
1,2002-2003,T4,2004-2005,T4
1,2004-2005,T4,2006-2007,T4
1,2006-2007,T4,2008-2009,T4
1,2002-2003,T5,2004-2005,T5
1,2004-2005,T5,2006-2007,T5
1,2006-2007,T5,2008-2009,T5
1,2002-2003,T6,2004-2005,T6
1,2004-2005,T6,2006-2007,T6
1,2006-2007,T6,2008-2009,T6
1,2002-2003,T9,2004-2005,T9
1,2004-2005,T9,2006-2007,T9
1,2006-2007,T9,2008-2009,T9
1,2002-2003,S1,2004-2005,S1
1,2004-2005,S1,2006-2007,S1
1,2006-2007,S1,2008-2009,S1
1,2002-2003,S6,2004-2005,S6
1,2004-2005,S6,2006-2007,S6
1,2006-2007,S6,2008-2009,S6
1,2002-2003,S7,2004-2005,S7
1,2004-2005,S7,2006-2007,S7
1,2006-2007,S7,2008-2009,S7
1,2002-2003,S9,2004-2005,S9
1,2004-2005,S9,2006-2007,S9
1,2006-2007,S9,2008-2009,S9
1,2002-2003,S10,2004-2005,S10
1,2004-2005,S10,2006-2007,S10
1,2006-2007,S10,2008-2009,S10
1,2002-2003,S11,2004-2005,S11
1,2004-2005,S11,2006-2007,S11
1,2006-2007,S11,2008-2009,S11
1,2002-2003,S12,2004-2005,S12
1,2004-2005,S12,2006-2007,S12
1,2006-2007,S12,2008-2009,S12
1,2002-2003,S13,2004-2005,S13
1,2004-2005,S13,2006-2007,S13
1,2006-2007,S13,2008-2009,S13
1,2004-2005,T1,2006-2007,T1
1,2006-2007,T1,2008-2009,T1
1,2004-2005,T3,2006-2007,T3
1,2006-2007,T3,2008-2009,T3
1,2004-2005,S8,2006-2007,S8
1,2006-2007,S8,2008-2009,S8
1,2004-2005,S5,2006-2007,S5
1,2006-2007,S5,2008-2009,S5
1,2004-2005,S4,2006-2007,S4
1,2006-2007,S4,2008-2009,S4
1,2006-2007,S2,2008-2009,S2
0.8,2004-2005,T6,2006-2007,S2
0.6,2002-2003,T5,2004-2005,S4
0.4,2002-2003,T9,2004-2005,S5
0.9,2002-2003,T4,2004-2005,S8
0.2,2002-2003,S10,2004-2005,T3
0.5,2002-2003,S11,2004-2005,T1
