sim,sour1986-1989eX,sour1986-1989eY,t1980-1982rgetX,t1980-1982rgetY
1,2010-2011,T5,2012-2013,T5
1,2012-2013,T5,2014-2015,T5
1,2014-2015,T5,2016-2017,T5
1,2010-2011,T8,2012-2013,T8
1,2012-2013,T8,2014-2015,T8
1,2014-2015,T8,2016-2017,T8
1,2010-2011,T10,2012-2013,T10
1,2012-2013,T10,2014-2015,T10
1,2014-2015,T10,2016-2017,T10
1,2010-2011,T1,2012-2013,T1
1,2012-2013,T1,2014-2015,T1
1,2014-2015,T1,2016-2017,T1
1,2010-2011,T4,2012-2013,T4
1,2012-2013,T4,2014-2015,T4
1,2014-2015,T4,2016-2017,T4
1,2010-2011,T7,2012-2013,T7
1,2012-2013,T7,2014-2015,T7
1,2014-2015,T7,2016-2017,T7
1,2010-2011,T9,2012-2013,T9
1,2012-2013,T9,2014-2015,T9
1,2014-2015,T9,2016-2017,T9
1,2010-2011,T11,2012-2013,T11
1,2012-2013,T11,2014-2015,T11
1,2014-2015,T11,2016-2017,T11
1,2010-2011,S9,2012-2013,S9
1,2012-2013,S9,2014-2015,S9
1,2014-2015,S9,2016-2017,S9
1,2010-2011,S5,2012-2013,S5
1,2012-2013,S5,2014-2015,S5
1,2014-2015,S5,2016-2017,S5
1,2010-2011,S4,2012-2013,S4
1,2012-2013,S4,2014-2015,S4
1,2014-2015,S4,2016-2017,S4
1,2010-2011,S2,2012-2013,S2
1,2012-2013,S2,2014-2015,S2
1,2014-2015,S2,2016-2017,S2
1,2010-2011,S3,2012-2013,S3
1,2012-2013,S3,2014-2015,S3
1,2014-2015,S3,2016-2017,S3
1,2010-2011,S6,2012-2013,S6
1,2012-2013,S6,2014-2015,S6
1,2014-2015,S6,2016-2017,S6
1,2010-2011,S8,2012-2013,S8
1,2012-2013,S8,2014-2015,S8
1,2014-2015,S8,2016-2017,S8
1,2010-2011,S11,2012-2013,S11
1,2012-2013,S11,2014-2015,S11
1,2014-2015,S11,2016-2017,S11
1,2012-2013,T3,2014-2015,T3
1,2014-2015,T3,2016-2017,T3
1,2012-2013,T2,2014-2015,T2
1,2014-2015,T2,2016-2017,T2
1,2014-2015,T6,2016-2017,T6
1,2014-2015,S10,2016-2017,S10
1,2014-2015,S13,2016-2017,S13
1,2012-2013,S14,2014-2015,S14
1,2014-2015,S14,2016-2017,S14
1,2012-2013,S12,2014-2015,S12
1,2014-2015,S12,2016-2017,S12
1,2012-2013,S7,2014-2015,S7
1,2014-2015,S7,2016-2017,S7
0.8,2010-2011,T1,2012-2013,S14
0.3,2012-2013,T4,2014-2015,S13
0.5,2010-2011,T7,2012-2013,S12
0.7,2010-2011,T9,2012-2013,S7
0.8,2012-2013,T11,2014-2015,S10
0.7,2010-2011,S4,2012-2013,T2
0.6,2012-2013,S5,2014-2015,T6
0.6,2010-2011,S9,2012-2013,T3
